Prefixo,Nexthop,as-path,Origem Prefixo
170.75.160.0/20,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['174', '394745'])"
103.151.4.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55933', '9232'])"
103.143.91.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['139668', '135076'])"
220.66.102.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65146', '3786'])"
103.219.195.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '58879'])"
120.92.184.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['17621', '137280', '4811'])"
212.163.92.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['8903', '12541'])"
103.52.144.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['147155', '59147'])"
103.52.144.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['147155', '59147'])"
91.149.226.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['201744', '56655'])"
45.117.52.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['20473', '7029'])"
162.18.71.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['17025', '10753'])"
104.254.21.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397986', '33287'])"
213.170.59.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['8903', '12541'])"
156.253.8.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '132813'])"
212.49.129.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['8903', '12541'])"
173.254.190.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['393423', '19893'])"
175.25.48.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '23724'])"
156.154.103.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397222', '397231', '397213', '397217'])"
103.235.220.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '23724'])"
167.219.136.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['26342', '30337'])"
38.83.140.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['396408', '174'])"
162.252.203.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13904', '22311'])"
103.209.100.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55799', '63916'])"
185.156.196.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['199256', '56410'])"
78.169.190.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['9121', '47331'])"
43.226.125.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
140.210.192.0/19,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['134542', '58519'])"
45.190.13.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['262262', '269934'])"
192.42.93.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['396554', '397203', '396569', '397197', '396577'])"
180.178.65.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55923', '7474'])"
212.80.184.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['8903', '12541'])"
134.119.69.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['34011', '8972'])"
176.100.152.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['207710', '209372'])"
177.47.216.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['262473', '65006'])"
177.84.206.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['52705', '270747'])"
103.41.65.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
199.255.104.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['26794', '32719'])"
103.184.164.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['6315', '400171'])"
134.119.105.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['34011', '8972'])"
210.56.54.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
180.222.171.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['45510', '38333'])"
134.119.104.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['34011', '8972'])"
171.6.0.0/16,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['45629', '45758'])"
204.74.115.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397222', '397228', '397231', '397213'])"
159.100.55.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['205019', '202013'])"
2401:4900:6341::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65534', '45609'])"
117.48.148.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['56046', '140292'])"
2001:67c:1254::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4455', '31216'])"
223.26.57.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
63.245.96.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['18678', '262589'])"
2602:fd50:100::/40,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['62513', '835'])"
208.85.230.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['26794', '32719'])"
156.77.90.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65395', '11286'])"
74.204.152.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
103.234.128.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['9929', '4811'])"
118.184.83.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '58879'])"
156.247.8.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['133861', '133199'])"
180.186.39.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['56048', '23724'])"
103.229.10.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['27281', '16509'])"
185.237.204.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['15626', '3549'])"
2001:1938:7003::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['33438', '12989'])"
185.105.66.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['16376', '39537'])"
101.33.184.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['132203', '45090'])"
190.90.101.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['18678', '262589'])"
213.248.217.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137502', '43519'])"
117.18.3.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
134.119.110.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['34011', '8972'])"
84.252.86.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['9009', '11426'])"
103.25.20.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '23724'])"
117.122.224.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '4847'])"
199.201.223.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['26375', '33662'])"
223.26.62.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
91.92.35.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['3320', '3257'])"
102.67.156.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['37546', '328473'])"
102.67.156.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['37546', '328473'])"
2401:4900:6348::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65534', '45609'])"
103.238.158.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['131232', '64585'])"
5.104.75.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['396356', '209372'])"
155.144.26.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64703', '17756'])"
43.226.20.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
103.210.160.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['63199', '136958'])"
112.213.113.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['141761', '64050', '38197'])"
136.143.172.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['205111', '139006', '397849'])"
185.179.224.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['43740', '61131'])"
64.254.26.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65201', '32787'])"
50.235.18.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['7015', '394782'])"
134.119.166.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['34011', '8972'])"
216.240.243.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
113.214.0.0/15,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['58461', '24139'])"
101.52.252.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['17621', '4811'])"
185.39.30.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['8772', '29632'])"
185.160.38.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['57531', '208720'])"
45.215.252.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['37287', '327708'])"
193.138.220.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['34305', '34343'])"
150.107.1.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64021', '137451'])"
2001:559:99::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['33659', '33287'])"
103.185.32.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['6315', '400171'])"
14.207.0.0/16,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['45629', '45758'])"
213.192.228.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['8903', '12541'])"
2001:dcd:2::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397228', '397241', '397231'])"
2401:4900:6342::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65534', '45609'])"
190.108.87.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['28032', '262589'])"
2001:559:825c::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['33659', '33287'])"
203.14.204.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65365', '139607'])"
216.240.244.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
120.29.254.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397228', '397241', '397231'])"
208.114.94.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
169.129.221.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '58879'])"
129.145.128.0/17,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['7160', '43894'])"
169.159.64.0/18,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['327783', '37122'])"
120.131.6.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137280', '59019'])"
2001:559:1dd::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['33659', '33287'])"
2001:559:83e7::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['33659', '33287'])"
162.18.89.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['17025', '10753'])"
78.181.190.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['9121', '47331'])"
116.213.128.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '56048', '4847'])"
103.112.66.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['38559', '65010'])"
121.127.235.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
24.112.31.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
199.7.68.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397228', '397241', '397215'])"
74.3.176.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['6327', '65035'])"
154.3.37.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['54574', '906'])"
2405:1c0:6552::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
74.204.148.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
193.46.81.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['212168', '834'])"
103.126.154.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['100', '135957'])"
199.47.80.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4761', '46851'])"
103.6.131.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['140951', '41095'])"
134.20.0.0/16,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['10702', '14702'])"
45.62.167.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['41378', '51089'])"
195.80.227.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['57714', '19905'])"
125.208.3.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '4847'])"
142.154.243.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['26677', '22652'])"
149.12.200.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['174', '209492'])"
2001:500:121::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['396557', '396583', '396577', '396567', '396566', '397203', '20172'])"
77.90.167.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['59729', '9009'])"
2610:a1:1018::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397222', '397218', '397231'])"
187.86.170.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['270986', '1'])"
223.26.49.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
46.33.40.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['207114', '31593'])"
103.120.236.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['135737', '146850'])"
167.219.72.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['26342', '30337'])"
8.29.192.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['31216', '4455'])"
204.74.111.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397222', '397228', '397231', '397232'])"
2620:1d0:5f::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397228', '397240', '397231'])"
190.90.55.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['18678', '262589'])"
213.192.232.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['8903', '12541'])"
148.77.3.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['396131', '6500'])"
170.146.42.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['14299', '65525'])"
199.7.66.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397220', '397228', '397241', '397215'])"
45.251.88.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['17816', '58466'])"
2401:cf80:607f::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
44.92.34.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['201106', '50131'])"
43.243.29.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
185.108.92.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['205402', '202038'])"
116.89.250.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '132813'])"
134.119.136.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['34011', '8972'])"
142.154.234.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['26677', '22652'])"
103.181.170.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['149197', '29761'])"
64.254.62.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['53703', '6531'])"
80.84.148.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['51007', '21057'])"
167.219.18.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['26342', '30337'])"
190.5.232.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['18809', '21599'])"
131.196.245.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['265538', '265561'])"
78.171.88.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['9121', '47331'])"
92.60.174.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['8903', '12541'])"
2804:d70:8000::/33,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['52626', '61945'])"
2804:d70:8000::/34,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['52626', '61945'])"
2402:f00::/32,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['38561', '23918'])"
202.90.108.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['17621', '4811'])"
187.174.80.0/20,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['{28390}', '8151'])"
66.115.118.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
170.0.8.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['18678', '262589'])"
110.172.213.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '23724'])"
174.136.193.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['209', '1023'])"
223.202.134.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '4847'])"
134.119.61.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['34011', '8972'])"
103.6.128.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['140951', '41095'])"
103.6.128.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['140951', '41095'])"
2401:cf80:6005::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
2a03:2887:ff40::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['63293', '32934'])"
103.112.36.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['38077', '58731'])"
154.223.180.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '58879'])"
68.64.97.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['21904', '32083'])"
118.193.171.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '58879'])"
142.195.252.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64258', '65151'])"
117.122.128.0/17,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '4847'])"
2001:4c08:2026::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['32787', '64664'])"
12.148.169.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['20120', '2386'])"
212.163.1.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['8903', '12541'])"
103.246.229.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['141761', '64050'])"
163.5.215.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['3320', '211936'])"
2001:500:122::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['396574', '396540', '396568', '396579', '396559', '396541', '397206'])"
130.44.24.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['31775', '397105'])"
216.250.104.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '132813'])"
185.149.161.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['43740', '61131'])"
170.48.19.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13348', '65411'])"
2804:d70:470::/44,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['52626', '61945'])"
185.222.67.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['200081', '201492'])"
66.146.11.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['11123', '11841'])"
121.127.255.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
88.230.64.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['9121', '47331'])"
43.245.144.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['45629', '45758'])"
2803:b780:1::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65000', '27742'])"
37.209.194.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397220', '397228', '397241', '397231'])"
197.214.60.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['327708', '37531'])"
2610:190::/38,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['62', '13767'])"
190.90.200.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['28032', '262589'])"
103.144.132.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['9341', '46065'])"
37.146.120.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65000', '8371'])"
142.195.150.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64258', '65166'])"
128.14.12.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['21859', '62610'])"
205.164.86.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['264275', '262663'])"
114.112.100.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '23724'])"
103.134.136.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '58879'])"
160.116.64.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '132813'])"
91.199.242.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55569', '44788', '19750'])"
203.171.5.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64702', '17756'])"
2607:fb10:50a2::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55095', '2906'])"
156.154.126.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397222', '397231', '397213', '397217'])"
194.34.10.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['32787', '65011'])"
69.171.211.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['36352', '834'])"
148.168.0.0/16,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['11971', '7068'])"
190.90.7.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['18678', '262589'])"
134.195.72.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['26451', '26077'])"
156.154.100.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397228', '397241', '397231'])"
185.222.19.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['206976', '205265'])"
177.92.245.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['270704', '263130'])"
211.157.0.0/19,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '56048', '24134'])"
109.160.41.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['3320', '393427'])"
211.155.80.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '23724'])"
190.90.82.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['18678', '262589'])"
221.122.64.0/20,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '23724'])"
93.187.232.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['34011', '8972'])"
2001:559:8698::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['33659', '33287'])"
177.70.128.0/20,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['262992', '266555'])"
2001:502:4612::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397222', '397218', '397231'])"
198.96.138.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65219', '399410'])"
190.90.34.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['18678', '262589'])"
