Prefixo,Nexthop,as-path,Origem Prefixo
217.199.159.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['9129', '{64512,65011}'])"
82.147.64.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['211082', '31112'])"
103.26.0.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '23724'])"
103.88.160.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64586', '131232'])"
120.92.48.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137280', '59019'])"
155.144.27.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64703', '17756'])"
199.59.94.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['27589', '42567'])"
5.180.153.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['834', '60721'])"
219.232.96.0/19,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '4847'])"
2804:2764::/32,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['263898', '262646'])"
181.189.153.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['262206', '65500'])"
27.34.226.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['45510', '38333'])"
2405:1c0:7a81::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
170.146.199.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['14299', '65516'])"
213.170.32.0/19,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['8903', '12541'])"
213.62.27.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['134536', '134535'])"
200.24.4.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['18678', '262589'])"
